Average White Band - Pick Up The Pieces, 0
Breakestra - Deuces Up,  Double Down (Part 1), 0
Chic - Good Times, 0
Dandy Livingstone - Rudy,       A Message To You, 0
De La Soul - Keepin' The Faith, 0
Mr. Scruff - Champagne Nibbler, 0
Sergio Mendes & Brasil 66 - Batucada, 0
The Gaturs - Gator Bait, 0
Tosca - Dave Dudley, 0
Monie Love - It's A Shame, 2
Thomas East & The Fabulous Playboys - I Get A Groove, 2
Tosca - Busenfreund (Walkner.Mostl Dub), 2
Cannonball Adderley - Minha Saudades, 3
Elis Regina - Roda, 2
Deltron 3030 - Positive Contact, 2
Barry White - Satin Soul, 2
Gilberto Gil - Roda, 4
Stan Getz & Astrud Gilberto - Eu E Voce (Me And You) (Live), 3
Astrud Gilberto - A Felicidade, 4
Ronny Jordan Meets DJ Krush - So What! (Tuff 'n' Smooth Mix), 3
Beastie Boys - Song For Junior, 0
Cal Tjader - Tanya, 4
El Michels Affair - Uzi (Pinky Ring), 0
Tim Maia - No Caminho Do Bem, 2
Young Holt Unlimited - Rubber Lips, 3
Dandy Livingstone - Rudy, A Message To You, 0
Trio Mocotó - Swinga Sambaby, 3
Chico Buarque - Samba de Orly, 3
Rubinho E Mauro Assumpcao - Ta Tudo Ai, 2
Duke Pearson - Sandalia Dela, 4
